,UserId,Condition,VP,Session,PQ,ATT,HQI,HQS,HQ,PQ.levels,PQ.2levels,PQ.2levels.split.at.4,PQ.2BalancedClasses,HQ.levels,HQ.2levels,HQ.2levels.split.at.4,HQ.2BalancedClasses,ATT.levels,ATT.2levels,IconSize,Position,Handedness,HandUsed,DominantHand,,sessionNr
131,200,8,621,7,2,1.5,2.5,2.5,2.5,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Table,RIGHT,Left,non-dominant,,127
132,200,9,621,8,6.5,6,5.5,4,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Left,non-dominant,,128
121,200,1,621,9,6.75,6,5.5,4,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Right,dominant,,129
122,200,10,621,10,2.25,2.5,2,3,2.5,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Left,non-dominant,,130
126,200,3,621,11,6.75,5.5,5,4.5,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Right,dominant,,131
123,200,11,621,12,5.25,5,5,4.5,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Hand,RIGHT,Left,non-dominant,,132
133,201,1,622,1,5.25,4,3,2,2.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Table,RIGHT,Right,dominant,,133
143,201,8,622,2,3,2.5,2,2,2,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Left,non-dominant,,134
134,201,10,622,3,3.25,2,2,1.5,1.75,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Stand,RIGHT,Left,non-dominant,,135
141,201,6,622,4,4.5,2,2,2,2,medium,STRONG,STRONG,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Hand,RIGHT,Right,dominant,,136
140,201,5,622,5,5.5,3,3.5,2,2.75,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,Normal,Hand,RIGHT,Right,dominant,,137
139,201,4,622,6,4.5,2.5,1.5,1,1.25,medium,STRONG,STRONG,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Right,dominant,,138
144,201,9,622,7,4.25,2.5,1.5,1,1.25,medium,STRONG,STRONG,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Left,non-dominant,,139
138,201,3,622,8,6,3.5,1.5,2,1.75,high,STRONG,STRONG,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,Normal,Stand,RIGHT,Right,dominant,,140
135,201,11,622,9,4.5,3,2,1,1.5,medium,STRONG,STRONG,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,Normal,Hand,RIGHT,Left,non-dominant,,141
137,201,2,622,10,4.25,3,1.5,1,1.25,medium,STRONG,STRONG,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Right,dominant,,142
136,201,12,622,11,4.5,3,1,1,1,medium,STRONG,STRONG,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Left,non-dominant,,143
142,201,7,622,12,4.5,3,2,1,1.5,medium,STRONG,STRONG,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,Normal,Table,RIGHT,Left,non-dominant,,144
156,202,9,623,1,5.5,5,5,4.5,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,LEFT,Left,dominant,,145
152,202,5,623,2,4,3.5,5,4.5,4.75,medium,STRONG,WEAK,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,Normal,Hand,LEFT,Right,non-dominant,,146
149,202,2,623,3,2.75,2,3.5,5.5,4.5,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,low,WEAK,TinyIcons,Table,LEFT,Right,non-dominant,,147
154,202,7,623,4,6.25,6,5.5,4,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,LEFT,Left,dominant,,148
145,202,1,623,5,4,5.5,5,5.5,5.25,medium,STRONG,WEAK,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,LEFT,Right,non-dominant,,149
148,202,12,623,6,3.25,2.5,5,5.5,5.25,medium,WEAK,WEAK,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,LEFT,Left,dominant,,150
151,202,4,623,7,3.5,3,4,5,4.5,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,LEFT,Right,non-dominant,,151
150,202,3,623,8,6.5,6,5.5,3,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,LEFT,Right,non-dominant,,152
146,202,10,623,9,2.5,2.5,3,5.5,4.25,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,LEFT,Left,dominant,,153
153,202,6,623,10,2.75,2,4,5.5,4.75,medium,WEAK,WEAK,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,low,WEAK,TinyIcons,Hand,LEFT,Right,non-dominant,,154
147,202,11,623,11,6.5,6.5,6,2,4,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Hand,LEFT,Left,dominant,,155
155,202,8,623,12,2,2.5,3,5.5,4.25,low,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,LEFT,Left,dominant,,156
166,203,7,624,1,4.75,4.5,4.5,2,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Table,RIGHT,Left,non-dominant,,157
157,203,1,624,2,6.25,4.5,4,2,3,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Table,RIGHT,Right,dominant,,158
162,203,3,624,3,6,4,4,1.5,2.75,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Stand,RIGHT,Right,dominant,,159
161,203,2,624,4,3.75,2.5,3,1.5,2.25,medium,STRONG,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Right,dominant,,160
158,203,10,624,5,3,3,3,1.5,2.25,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Left,non-dominant,,161
160,203,12,624,6,2.75,3,3,1.5,2.25,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Left,non-dominant,,162
167,203,8,624,7,3.75,3,3,1.5,2.25,medium,STRONG,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Left,non-dominant,,163
163,203,4,624,8,3.75,3,3,1.5,2.25,medium,STRONG,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Right,dominant,,164
164,203,5,624,9,5,4,4,1.5,2.75,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Hand,RIGHT,Right,dominant,,165
168,203,9,624,10,5.75,4,4.5,1.5,3,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Stand,RIGHT,Left,non-dominant,,166
159,203,11,624,11,5,4,4,1.5,2.75,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Hand,RIGHT,Left,non-dominant,,167
165,203,6,624,12,3.5,3,3,1.5,2.25,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Right,dominant,,168
180,204,9,625,1,6,4,3.5,3,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Stand,RIGHT,Left,non-dominant,,169
175,204,4,625,2,3.25,3,3,3,3,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Right,dominant,,170
178,204,7,625,3,4.25,4,3.5,3,3.25,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Table,RIGHT,Left,non-dominant,,171
179,204,8,625,4,2.75,3.5,3.5,3,3.25,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Left,non-dominant,,172
170,204,10,625,5,3,3,3.5,3.5,3.5,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Left,non-dominant,,173
174,204,3,625,6,5.5,4.5,4,4.5,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,Normal,Stand,RIGHT,Right,dominant,,174
172,204,12,625,7,2.75,3.5,3.5,3.5,3.5,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Left,non-dominant,,175
176,204,5,625,8,5.25,3.5,3.5,3,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,Normal,Hand,RIGHT,Right,dominant,,176
177,204,6,625,9,4.75,3.5,3.5,3,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Right,dominant,,177
171,204,11,625,10,5,4.5,4,3,3.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Hand,RIGHT,Left,non-dominant,,178
173,204,2,625,11,4.25,3.5,3.5,3,3.25,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Right,dominant,,179
169,204,1,625,12,5.25,4.5,3.5,4,3.75,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Table,RIGHT,Right,dominant,,180
187,205,4,626,1,3.75,4.5,5,4,4.5,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,TinyIcons,Stand,RIGHT,Right,dominant,,181
186,205,3,626,2,5.75,5.5,5,4,4.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Right,dominant,,182
192,205,9,626,3,3.25,3,4,5,4.5,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,Normal,Stand,RIGHT,Left,non-dominant,,183
188,205,5,626,4,3.75,5,5,3,4,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Hand,RIGHT,Right,dominant,,184
191,205,8,626,5,1.5,3,4.5,5,4.75,low,WEAK,WEAK,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Left,non-dominant,,185
185,205,2,626,6,4.5,5.5,4.5,5,4.75,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,TinyIcons,Table,RIGHT,Right,dominant,,186
182,205,10,626,7,2.75,4.5,5,5,5,medium,WEAK,WEAK,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,TinyIcons,Stand,RIGHT,Left,non-dominant,,187
184,205,12,626,8,2,4.5,4,4,4,low,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,TinyIcons,Hand,RIGHT,Left,non-dominant,,188
189,205,6,626,9,5.5,6.5,5.5,5.5,5.5,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,TinyIcons,Hand,RIGHT,Right,dominant,,189
190,205,7,626,10,6,2,2.5,2.5,2.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,Normal,Table,RIGHT,Left,non-dominant,,190
183,205,11,626,11,5,3.5,4,4,4,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,Normal,Hand,RIGHT,Left,non-dominant,,191
181,205,1,626,12,5,3.5,4.5,5,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,Normal,Table,RIGHT,Right,dominant,,192
197,206,2,627,1,4.75,2,2,3.5,2.75,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Table,LEFT,Right,non-dominant,,193
195,206,11,627,2,6.75,5,4.5,2.5,3.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Hand,LEFT,Left,dominant,,194
198,206,3,627,3,5.75,4.5,3.5,2,2.75,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Stand,LEFT,Right,non-dominant,,195
201,206,6,627,4,3.5,1.5,3,2,2.5,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Hand,LEFT,Right,non-dominant,,196
193,206,1,627,5,5.75,4.5,3,2.5,2.75,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Table,LEFT,Right,non-dominant,,197
204,206,9,627,6,6,5,3.5,2.5,3,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Stand,LEFT,Left,dominant,,198
196,206,12,627,7,3.75,2,2.5,2,2.25,medium,STRONG,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Hand,LEFT,Left,dominant,,199
199,206,4,627,8,3.25,2.5,2,2,2,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,LEFT,Right,non-dominant,,200
202,206,7,627,9,6,5.5,3.5,2.5,3,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Table,LEFT,Left,dominant,,201
203,206,8,627,10,3,2,2.5,2,2.25,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Table,LEFT,Left,dominant,,202
200,206,5,627,11,6,4.5,4,2.5,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Hand,LEFT,Right,non-dominant,,203
194,206,10,627,12,3,3,2,2.5,2.25,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,LEFT,Left,dominant,,204
210,207,3,628,1,6.75,6.5,4,4.5,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Right,dominant,,205
213,207,6,628,2,2,2.5,3,3.5,3.25,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Right,dominant,,206
207,207,11,628,3,5.5,6,4.5,5.5,5,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Hand,RIGHT,Left,non-dominant,,207
209,207,2,628,4,3.75,4,3.5,4,3.75,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,TinyIcons,Table,RIGHT,Right,dominant,,208
208,207,12,628,5,2,2.5,2.5,2.5,2.5,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Left,non-dominant,,209
206,207,10,628,6,3.25,5,4.5,3,3.75,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,high,STRONG,TinyIcons,Stand,RIGHT,Left,non-dominant,,210
214,207,7,628,7,5.5,6,5,5,5,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Left,non-dominant,,211
205,207,1,628,8,6.75,6.5,6,6,6,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,RIGHT,Right,dominant,,212
211,207,4,628,9,4.75,5,4.5,4.5,4.5,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,TinyIcons,Stand,RIGHT,Right,dominant,,213
215,207,8,628,10,2.25,3,2.5,3.5,3,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Left,non-dominant,,214
216,207,9,628,11,6,6.5,5,6,5.5,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Left,non-dominant,,215
212,207,5,628,12,6.5,6.5,5.5,6.5,6,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Hand,RIGHT,Right,dominant,,216
227,208,8,629,1,3,3,2.5,1.5,2,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Left,non-dominant,,217
219,208,11,629,2,3.5,3.5,4.5,3,3.75,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,Normal,Hand,RIGHT,Left,non-dominant,,218
218,208,10,629,3,4,3.5,5,4.5,4.75,medium,STRONG,WEAK,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Left,non-dominant,,219
223,208,4,629,4,3,3,3.5,2.5,3,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Right,dominant,,220
222,208,3,629,5,4,5,4.5,4,4.25,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Right,dominant,,221
221,208,2,629,6,3,3,3,2.5,2.75,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Right,dominant,,222
226,208,7,629,7,4.5,4.5,4.5,4,4.25,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,Normal,Table,RIGHT,Left,non-dominant,,223
220,208,12,629,8,3.5,3.5,3,2.5,2.75,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Left,non-dominant,,224
228,208,9,629,9,4.75,5,4.5,4,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,RIGHT,Left,non-dominant,,225
225,208,6,629,10,3.5,3,3.5,2.5,3,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,RIGHT,Right,dominant,,226
217,208,1,629,11,4.5,4.5,4,3.5,3.75,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Table,RIGHT,Right,dominant,,227
224,208,5,629,12,5,4.5,5,3,4,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Hand,RIGHT,Right,dominant,,228
237,209,6,630,1,2.75,4,3,2.5,2.75,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,TinyIcons,Hand,RIGHT,Right,dominant,,229
230,209,10,630,2,3.5,5,4.5,3,3.75,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,high,STRONG,TinyIcons,Stand,RIGHT,Left,non-dominant,,230
235,209,4,630,3,3.75,3.5,4.5,1.5,3,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,RIGHT,Right,dominant,,231
233,209,2,630,4,3.5,2,2.5,2,2.25,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Table,RIGHT,Right,dominant,,232
234,209,3,630,5,4.75,4.5,4.5,4,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,Normal,Stand,RIGHT,Right,dominant,,233
236,209,5,630,6,5.5,4,4,2.5,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Hand,RIGHT,Right,dominant,,234
239,209,8,630,7,3.25,3,3.5,2.5,3,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,RIGHT,Left,non-dominant,,235
231,209,11,630,8,3.5,4,3.5,4.5,4,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Hand,RIGHT,Left,non-dominant,,236
232,209,12,630,9,3.75,4.5,3.5,2.5,3,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,TinyIcons,Hand,RIGHT,Left,non-dominant,,237
240,209,9,630,10,5,3.5,3,3,3,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,Normal,Stand,RIGHT,Left,non-dominant,,238
229,209,1,630,11,5.5,4.5,4.5,2,3.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Table,RIGHT,Right,dominant,,239
238,209,7,630,12,6,4.5,5,2.5,3.75,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,STRONG,Normal,Table,RIGHT,Left,non-dominant,,240
247,210,4,631,1,2.75,3,4.5,3,3.75,medium,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Stand,LEFT,Right,non-dominant,,241
250,210,7,631,2,5.5,5.5,3.5,4,3.75,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,high,STRONG,Normal,Table,LEFT,Left,dominant,,242
242,210,10,631,3,1.5,2,3,4.5,3.75,low,WEAK,WEAK,BELOW_MEDIAN,medium,STRONG,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Stand,LEFT,Left,dominant,,243
245,210,2,631,4,3.25,2,2.5,4,3.25,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,low,WEAK,TinyIcons,Table,LEFT,Right,non-dominant,,244
252,210,9,631,5,5,5,5,4.5,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,TinyIcons,Stand,LEFT,Left,dominant,,245
244,210,12,631,6,6.75,6,4.5,4,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Hand,LEFT,Left,dominant,,246
246,210,3,631,7,5.5,5.5,6,5,5.5,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Stand,LEFT,Right,non-dominant,,247
241,210,1,631,8,4.5,6,5.5,5.5,5.5,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Table,LEFT,Right,non-dominant,,248
243,210,11,631,9,5,5,4.5,4,4.25,high,STRONG,STRONG,BELOW_MEDIAN,medium,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Hand,LEFT,Left,dominant,,249
249,210,6,631,10,3.75,3.5,2.5,3.5,3,medium,STRONG,WEAK,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,LEFT,Right,non-dominant,,250
251,210,8,631,11,4.25,3,3,3,3,medium,STRONG,STRONG,BELOW_MEDIAN,medium,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Table,LEFT,Left,dominant,,251
248,210,5,631,12,6.75,6,5.5,4,4.75,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,STRONG,BELOW_MEDIAN,high,STRONG,Normal,Hand,LEFT,Right,non-dominant,,252
261,211,6,632,1,3.75,3,3.5,1,2.25,medium,STRONG,WEAK,BELOW_MEDIAN,low,WEAK,WEAK,BELOW_MEDIAN,medium,WEAK,TinyIcons,Hand,LEFT,Right,non-dominant,,253
